Cluster	Caste	Module	dnds	total	Intra	Ext	Exp
EOG74R9K5	Queen	 Brown	0.24938	72.17987768	55.0888399	17.09103778	97.74258282
EOG751X8H	Queen	 Brown	0.15228	44.22194521	17.59110397	26.63084124	137.0076772
EOG751X8M	Queen	 Brown	0.01078	55.20631646	28.895908	26.31040846	82.41638816
EOG751X8R	Queen	 Brown	0.11884	80.40276414	61.43054086	18.97222329	105.3688953
EOG751X8T	Queen	 Brown	0.05079	67.7646946	38.52174663	29.24294796	201.5726808
EOG75BJ0G	Queen	 Brown	0.35698	80.85848068	23.0476037	57.81087698	17.71055334
EOG75FD77	Queen	 Brown	0.00767	49.06604039	22.07013989	26.9959005	215.5848329
EOG75FD7X	Queen	 Brown	0.05792	41.80443818	19.93925986	21.86517832	145.4422859
EOG75N4Q9	Queen	 Brown	0.0801	46.70034842	16.90600289	29.79434553	13.58688345
EOG75R0Z1	Queen	 Brown	0.09635	50.68588832	33.40626945	17.27961887	55.8589572
EOG75TW61	Queen	 Brown	0.15252	35.12002635	16.29065167	18.82937468	69.03062236
EOG75TW64	Queen	 Brown	0.16497	33.40620253	17.92143496	15.48476757	26.1163438
EOG75XRFB	Queen	 Brown	0.01711	81.78160166	61.6877775	20.09382415	81.92875507
EOG761MNT	Queen	 Brown	0.0475	27.77947263	14.64041308	13.13905955	97.80310131
EOG761MNV	Queen	 Brown	0.05254	58.22332841	39.22538683	18.99794158	61.52725949
EOG761MPQ	Queen	 Brown	0.13615	45.59354289	12.79510505	32.79843784	16.30836469
EOG764GXT	Queen	 Brown	0.1707	48.02628562	32.47147347	15.55481215	145.2640282
EOG767C4Z	Queen	 Brown	0.08485	33.6872642	15.1638197	18.5234445	15.60176135
EOG767C5T	Queen	 Brown	0.14295	80.52825153	30.40132	50.12693153	120.9593744
EOG76B7CW	Queen	 Brown	0.10096	51.17127677	21.31438757	29.8568892	37.16131527
EOG76F3MN	Queen	 Brown	0.03315	80.33116231	54.12565316	26.20550915	33.28310492
EOG76HZVH	Queen	 Brown	0.14231	46.62100575	22.37112902	24.24987673	29.58826511
EOG76HZVR	Queen	 Brown	0.08833	14.24327859	5.610737434	8.632541156	464.3012603
EOG76MV3D	Queen	 Brown	0.06918	39.10374614	12.66527327	26.43847287	117.4519897
EOG76MV3M	Queen	 Brown	0.32533	68.3847455	43.23085605	25.15388945	76.04674226
EOG76MV3N	Queen	 Brown	0.13585	29.188697	17.81145149	11.3772455	15.67422156
EOG76MV44	Queen	 Brown	0.1672	11.29697091	4.481802968	6.815167947	115.4665617
EOG76QQBH	Queen	 Brown	0.02245	70.19178432	31.64351192	38.5482724	39.08150661
EOG76QQC8	Queen	 Brown	0.11952	17.78230697	9.185850514	8.596456454	249.1579573
EOG76XFTG	Queen	 Brown	0.06358	27.71280382	8.846875631	18.86592819	64.6154216
EOG7772J1	Queen	 Brown	0.22591	38.55774935	13.52925823	25.02849112	43.12624638
EOG779XRZ	Queen	 Brown	0.41462	66.38057518	29.93461605	36.44595912	52.6433714
EOG77DT0X	Queen	 Brown	1	111.6694178	63.36564463	48.30377314	6.686624723
EOG77DT18	Queen	 Brown	0.03557	32.91058412	20.22284653	12.68773759	33.19492205
EOG77HP7R	Queen	 Brown	0.15771	41.83699231	21.86351551	19.9734768	79.0897317
EOG77HP80	Queen	 Brown	0.09575	61.20141557	48.12703774	13.07437783	31.38693827
EOG77HP83	Queen	 Brown	0.14996	62.54943084	23.21555528	39.33387556	27.76904889
EOG77HP89	Queen	 Brown	0.30043	24.24891463	7.786419894	16.46249473	193.8942754
EOG77MJH4	Queen	 Brown	0.09552	90.43615294	71.41829692	19.01785602	68.6283831
EOG77QDQV	Queen	 Brown	0.07823	56.52773511	43.74414774	12.78358737	26.56677401
EOG77QDR6	Queen	 Brown	0.16594	11.81158056	4.305826008	7.505754549	109.2099215
EOG77X56S	Queen	 Brown	0.1209	46.02397156	27.27685326	18.7471183	60.72313542
EOG7811FQ	Queen	 Brown	0.07375	10.9497844	6.083110099	4.866674304	31.02077092
EOG783WPH	Queen	 Brown	0.0812	26.2414005	6.290131509	19.95126899	27.12706969
EOG783WPR	Queen	 Brown	0.11557	61.95993147	52.99461934	8.965312129	53.82408096
EOG786RXB	Queen	 Brown	0.05338	63.79174305	52.06885935	11.72288371	129.9557562
EOG78DHD7	Queen	 Brown	0.27291	58.97201844	25.04686595	33.92515249	177.3019189
EOG78HCN5	Queen	 Brown	0.07745	78.88587948	47.38493909	31.50094039	15.70534824
EOG78M7WB	Queen	 Brown	0.22767	51.82881898	38.05535176	13.77346723	12.75309104
EOG78Q440	Queen	 Brown	0.05201	42.0861583	18.95623676	23.12992154	113.5821905
EOG78Q442	Queen	 Brown	0.04124	66.91362654	41.14296571	25.77066083	51.96712092
EOG78Q44D	Queen	 Brown	0.07645	24.34336168	20.17398555	4.169376132	1.55149683
EOG78WVKV	Queen	 Brown	0.08727	42.64785998	20.80747329	21.84038669	79.58911751
EOG78WVKZ	Queen	 Brown	0.16636	29.68363314	14.15710297	15.52653017	145.6636931
EOG78WVM4	Queen	 Brown	0.06577	23.3473132	11.07581246	12.27150074	159.8245214
EOG790QVC	Queen	 Brown	0.01555	64.91689918	57.57996825	7.336930928	174.6685922
EOG796G9J	Queen	 Brown	0.29295	29.83715969	20.05678749	9.780372203	279.7047302
EOG796G9M	Queen	 Brown	0.09567	40.55528763	12.3752915	28.17999613	52.88497263
EOG796GB3	Queen	 Brown	0.03848	61.58885109	38.88933463	22.69951646	50.59474902
EOG799BJQ	Queen	 Brown	0.03663	18.49306468	8.891374415	9.601690262	190.6267437
EOG799BJS	Queen	 Brown	0.09761	36.32164074	17.505869	18.81577174	33.57295053
EOG79D6SG	Queen	 Brown	0.06825	27.2245079	11.96730034	15.25720756	6.981897913
EOG79D6SM	Queen	 Brown	0.06268	25.44376392	8.188663016	17.2551009	123.9393951
EOG79H31N	Queen	 Brown	0.04209	66.78247009	36.93980694	29.84266315	78.94213449
EOG79KZ8N	Queen	 Brown	0.16238	17.74808819	8.460559762	9.287528428	106.3064814
EOG79PTHQ	Queen	 Brown	0.17554	67.90018705	42.0212007	25.87898635	4.5868026
EOG79SPRK	Queen	 Brown	0.01294	28.93743468	11.9143317	17.02310298	85.28706425
EOG7B0F77	Queen	 Brown	0.22265	35.75150912	19.69009263	16.06141649	69.28433011
EOG7B0F7W	Queen	 Brown	0.42128	70.278441	57.19344646	13.08499455	40.4262573
EOG7BCX5T	Queen	 Brown	0.05511	31.89635777	8.588076	23.30828177	332.4375066
EOG7BKNNX	Queen	 Brown	0.34489	50.26241613	16.65650409	33.60591204	3.671865773
EOG7BPHWM	Queen	 Brown	0.19399	30.93585822	10.74906115	20.18679706	175.2824005
EOG7C30V9	Queen	 Brown	0.13076	36.1108783	12.33590432	23.77497398	41.68725394
EOG7C30VJ	Queen	 Brown	0.05816	62.20118849	47.3550839	14.84610459	27.76864806
EOG7C5W3H	Queen	 Brown	0.10056	76.03625598	38.00416485	38.03209113	115.8270357
EOG7C8RB7	Queen	 Brown	0.15644	62.62197149	49.3350443	13.28692719	45.79642142
EOG7CCMK4	Queen	 Brown	0.12328	61.76663619	41.32186465	20.44477154	49.22322561
EOG7CCMK8	Queen	 Brown	0.06069	50.52644593	45.39902374	5.127422187	31.46991572
EOG7CGGT5	Queen	 Brown	0.06179	67.67409907	54.53219468	13.14190439	45.90228136
EOG7CGGTZ	Queen	 Brown	0.03323	35.70126113	22.6338261	13.06743503	85.48635216
EOG7CKC2F	Queen	 Brown	0.03842	72.74481375	30.39462768	42.35018606	161.1843819
EOG7CKC32	Queen	 Brown	0.27768	104.6215079	54.54618731	50.07532063	24.88378664
EOG7CP793	Queen	 Brown	0.0447	34.19114159	21.56319744	12.62794415	90.03257987
EOG7CP79J	Queen	 Brown	0.11098	69.88308631	51.49870486	18.38438145	253.9028348
EOG7CS3HX	Queen	 Brown	0.13876	34.31112451	9.953901683	24.35722283	21.29457904
EOG7D2Q7S	Queen	 Brown	0.22679	14.29966041	7.53290567	6.766754745	62.68940602
EOG7D5KGM	Queen	 Brown	0.1664	56.57527688	41.65608658	14.9191903	71.56871165
EOG7D5KGQ	Queen	 Brown	0.0456	14.48603023	9.395158486	5.09087174	57.3249382
EOG7DK2FD	Queen	 Brown	0.1058	36.57207313	21.65391705	14.91815607	54.37090647
EOG7DK2FJ	Queen	 Brown	0.38216	44.81269389	29.78441719	15.0282767	36.40130459
EOG7DK2FN	Queen	 Brown	0.05265	52.44666567	16.89549744	35.55116823	109.6522227
EOG7DK2GD	Queen	 Brown	0.41785	94.81172663	61.78491618	33.02681045	88.65238197
EOG7DNXPB	Queen	 Brown	0.02212	69.83283954	46.75199966	23.08083989	19.71392258
EOG7DNXPG	Queen	 Brown	0.15624	75.92287305	59.89381633	16.02905672	44.55271464
EOG7DVP55	Queen	 Brown	0.34363	95.49505382	48.46151281	47.03354101	52.49367955
EOG7DVP57	Queen	 Brown	0.05286	38.02816031	27.75700058	10.27115973	40.56154506
EOG7DZJD0	Queen	 Brown	0.08048	36.24733692	22.71567251	13.53166441	58.71003655
EOG7DZJDJ	Queen	 Brown	0.00896	44.64399583	13.46994731	31.17404852	65.35624935
EOG7F2DN2	Queen	 Brown	0.10885	36.63027796	19.88192626	16.74835171	68.10939274
EOG7F2DNK	Queen	 Brown	0.20223	16.30955347	6.391313079	9.918240386	13.70535017
EOG7F58W4	Queen	 Brown	0.29415	59.50758509	48.13212213	11.37546296	384.101259
EOG7F58WG	Queen	 Brown	0.05424	25.58032871	21.81552364	3.764805067	60.79981532
EOG7FFWKZ	Queen	 Brown	0.10778	63.0193897	43.19129018	19.82809953	46.71850334
EOG7FJRTN	Queen	 Brown	0.33376	43.24980412	26.10248751	17.14731662	102.0706366
EOG7FJRTS	Queen	 Brown	0.05043	32.82680338	24.94330489	7.883498488	64.31147465
EOG7FJRV4	Queen	 Brown	0.04463	36.55298555	15.883231	20.66975455	18.0677761
EOG7FJRVM	Queen	 Brown	0.19176	49.6248406	19.10141169	30.52342891	25.14679517
EOG7FNN2J	Queen	 Brown	0.0318	17.53938731	6.088235159	11.45115215	1.081043642
EOG7G2419	Queen	 Brown	0.28793	91.44914737	66.55601448	24.89313288	116.2312976
EOG7G7VH5	Queen	 Brown	0.19804	44.23411672	17.47263016	26.76148656	40.68461154
EOG7GJG70	Queen	 Brown	0.22327	35.80374349	16.15581355	19.64792994	35.78304846
EOG7GNBFX	Queen	 Brown	0.0936	18.37227281	7.228655397	11.14361741	65.95503148
EOG7GNBG2	Queen	 Brown	0.03935	27.91878772	14.28359206	13.63519566	95.25685013
EOG7GNBG8	Queen	 Brown	0.09216	27.59687813	8.636103311	18.96077482	180.6276161
EOG7GV2XS	Queen	 Brown	0.05903	68.92053882	34.88893907	34.03159975	61.10179018
EOG7GV2XT	Queen	 Brown	0.02649	54.74610325	27.43503864	27.31106461	23.41919469
EOG7GV2ZB	Queen	 Brown	0.0834	38.57110404	20.82630061	17.74480342	55.44404396
EOG7H4PNR	Queen	 Brown	0.42593	32.36021785	16.66189264	15.69832521	2.780103743
EOG7H4PNW	Queen	 Brown	0.08397	20.70463711	6.301976775	14.40266034	33.24452341
EOG7H7JWF	Queen	 Brown	0.021	56.15072797	33.95008749	22.20064049	45.80467175
EOG7HBF4Q	Queen	 Brown	0.24708	48.95456172	28.14681436	20.80774735	48.80292517
EOG7HF9CH	Queen	 Brown	0.08229	39.7412211	22.88556823	16.85565287	30.68202328
EOG7HJ5MH	Queen	 Brown	0.1528	47.13111233	20.36981792	26.76129442	52.94859127
EOG7HJ5N0	Queen	 Brown	0.12292	56.21472561	23.9874407	32.22728491	108.6864736
EOG7HN1V7	Queen	 Brown	0.29857	36.77024613	10.42977955	26.34046658	163.9906802
EOG7HQX3H	Queen	 Brown	0.14708	27.44816729	6.280070797	21.1680965	142.0651767
EOG7HTSB6	Queen	 Brown	0.16764	88.65991696	67.49557691	21.16434005	253.8265663
EOG7HXNJV	Queen	 Brown	0.1584	37.50205773	14.56653163	22.9355261	56.86264501
EOG7HXNK0	Queen	 Brown	0.00509	25.51646097	11.20019342	14.31626755	422.6179603
EOG7J4D2G	Queen	 Brown	0.08257	43.3458394	23.96149669	19.3843427	55.05936544
EOG7J788R	Queen	 Brown	0.28937	42.945165	17.86046883	25.08469617	48.83609846
EOG7JB4HQ	Queen	 Brown	0.18613	32.37633512	14.3211544	18.05518072	28.19493305
EOG7JF0RQ	Queen	 Brown	0.07322	34.94540279	12.7515857	22.19381709	80.35173186
EOG7JMR7Q	Queen	 Brown	0.15124	49.46424011	39.01463856	10.44960155	103.9223755
EOG7JMR7T	Queen	 Brown	0.01102	63.81511107	52.82491155	10.99019952	395.8149639
EOG7JQMGQ	Queen	 Brown	0.14517	115.4508864	62.41326945	53.03761694	43.30705772
EOG7JQMGX	Queen	 Brown	0.10796	52.30726317	38.46532084	13.84194234	217.9621024
EOG7JQMH1	Queen	 Brown	0.10494	62.95779101	53.3915851	9.566205918	286.6745486
EOG7JXBZR	Queen	 Brown	0.49583	42.37271112	16.84954608	25.52316503	26.03638794
EOG7K1769	Queen	 Brown	0.22807	30.52659653	14.01480507	16.51179146	69.7248777
EOG7K43F8	Queen	 Brown	0.03466	43.71369625	27.10416222	16.60953403	47.98563669
EOG7K43FD	Queen	 Brown	0.00342	41.18240976	26.17336671	15.00904304	229.9116337
EOG7K6ZP7	Queen	 Brown	0.09959	22.39395457	8.63005225	13.76390232	3.083032913
EOG7K6ZPN	Queen	 Brown	0.36777	75.06391869	52.28273118	22.78118751	245.9524583
EOG7K9TX4	Queen	 Brown	0.42443	56.25706529	36.35273111	19.90433419	346.298256
EOG7K9TX5	Queen	 Brown	0.16546	35.30183367	18.68798613	16.61384755	37.10874355
EOG7K9TX8	Queen	 Brown	0.10855	64.94795911	25.90145586	39.04650324	81.35074302
EOG7K9TZ6	Queen	 Brown	0.05527	68.50723358	42.15310986	26.35412372	115.0545499
EOG7KDQ4Z	Queen	 Brown	0.2153	48.13481578	24.81918017	23.31563562	46.8912766
EOG7KMFMZ	Queen	 Brown	0.13066	71.7897991	49.51461554	22.27518355	123.2594381
EOG7KQ9VX	Queen	 Brown	0.34003	36.38734165	19.79764024	16.58970141	40.79507717
EOG7KX2BQ	Queen	 Brown	0.11509	34.2899059	17.24438444	17.04552146	37.33498698
EOG7KX2BV	Queen	 Brown	0.05584	37.1597365	17.50067795	19.65905855	26.46429998
EOG7KX2C5	Queen	 Brown	0.11841	77.12518083	61.86551547	15.25966536	2.187801733
EOG7M0XKX	Queen	 Brown	0.00535	70.42637759	36.11663824	34.30973935	271.193292
EOG7M3STC	Queen	 Brown	0.01067	55.30079627	30.72568122	24.57511505	69.77726878
EOG7M6P32	Queen	 Brown	0.08027	56.08526186	40.45918464	15.62607722	1063.55269
EOG7MDDJG	Queen	 Brown	0.01672	55.86562625	44.19785076	11.66777549	451.3136468
EOG7MH8S6	Queen	 Brown	0.06339	30.28921909	10.63535811	19.65386097	24.65776564
EOG7MH8SC	Queen	 Brown	0.07588	21.0569659	10.66380716	10.39315874	108.9668881
EOG7MQ182	Queen	 Brown	0.08285	34.63653933	13.30613087	21.33040846	64.35899154
EOG7MQ18P	Queen	 Brown	0.06008	33.82593656	9.920745222	23.90519134	65.38884806
EOG7MQ18S	Queen	 Brown	0.21685	37.47125074	18.63520186	18.83604888	3.537661337
EOG7N0N02	Queen	 Brown	0.07763	59.30492797	45.16738844	14.13753953	199.420241
EOG7N6CFQ	Queen	 Brown	0.36048	71.03373324	60.35828978	10.67544346	141.0442858
EOG7N6CFZ	Queen	 Brown	0.12784	97.48791191	70.77462533	26.71328658	88.46927447
EOG7ND3XG	Queen	 Brown	0.08997	58.30627307	29.2237724	29.08250067	8.920068632
EOG7NH05N	Queen	 Brown	0.1003	92.45154602	58.56112712	33.8904189	34.98206084
EOG7NH06C	Queen	 Brown	0.12188	84.825055	42.72332243	42.10173256	35.50549484
EOG7NKVDH	Queen	 Brown	0.08	27.39718895	14.5276543	12.86953464	21.46681502
EOG7NPQPB	Queen	 Brown	0.05604	46.56367519	28.80554633	17.75812886	18.31044999
EOG7NSKWD	Queen	 Brown	0.04104	27.31271963	8.566042499	18.74667713	443.0938928
EOG7NSKWG	Queen	 Brown	0.077	29.06324005	8.079587031	20.98365302	162.1616679
EOG7NSKWJ	Queen	 Brown	0.03119	26.13015277	13.81099911	12.31915366	155.5054652
EOG7NWG43	Queen	 Brown	0.05359	28.42189881	14.35226512	14.06963369	3.182120936
EOG7NWG46	Queen	 Brown	0.16656	53.36576508	10.30227925	43.06348583	9.095964326
EOG7P0BC1	Queen	 Brown	0.12893	17.31749887	7.885534225	9.431964643	9.409803242
EOG7P36M4	Queen	 Brown	0.13811	117.77386	67.81879098	49.95506905	58.70650855
EOG7P36MC	Queen	 Brown	0.16674	41.4715824	15.50772898	25.96385342	113.5843996
EOG7P62TW	Queen	 Brown	0.16548	45.66502752	26.52364478	19.14138274	60.79148256
EOG7P62V5	Queen	 Brown	0.02747	37.67798497	24.66938423	13.00860074	142.7826316
EOG7PCTB2	Queen	 Brown	0.04784	28.44515608	16.41823646	12.02691962	96.74384744
EOG7PKJTF	Queen	 Brown	0.06447	10.42214833	4.870106567	5.552041767	10.28710705
EOG7PW5HR	Queen	 Brown	0.30061	91.95429999	51.20952293	40.74477706	126.6282117
EOG7PW5HW	Queen	 Brown	0.21957	33.64767693	16.0643095	17.58336743	85.571142
EOG7Q01RN	Queen	 Brown	0.29644	18.17025101	10.91203046	7.258220548	63.577697
EOG7Q01RS	Queen	 Brown	0.05185	60.91605717	44.12169966	16.79435751	30.19884786
EOG7Q2X0C	Queen	 Brown	0.04897	50.76017337	30.68673441	20.07343897	66.28342045
EOG7QCHQ9	Queen	 Brown	0.11071	32.32634595	18.49699032	13.82935562	73.00256582
EOG7QCHQQ	Queen	 Brown	0.1664	25.40137076	17.17796932	8.223401438	43.23372708
EOG7QGCZ2	Queen	 Brown	0.48047	60.22671659	27.69564508	32.53107151	159.9667629
EOG7QGCZ8	Queen	 Brown	0.1623	92.25562044	46.89811445	45.35750599	9.46796339
EOG7QP4FS	Queen	 Brown	0.03681	43.66699773	16.14661491	27.52038282	112.0996198
EOG7QP4FZ	Queen	 Brown	0.01682	13.40299279	5.106228612	8.296764181	258.4461851
EOG7QS0NW	Queen	 Brown	0.0258	76.29882731	47.44079174	28.85803557	125.606241
EOG7QZR4N	Queen	 Brown	0.02692	39.31020219	24.65110491	14.65909728	41.65978224
EOG7QZR4R	Queen	 Brown	0.15638	45.149916	23.19519479	21.95472121	83.90283151
EOG7R2MCT	Queen	 Brown	0.14163	34.9218563	14.88717537	20.03468093	94.58443127
EOG7R2MCZ	Queen	 Brown	0.07776	62.74660787	29.43395273	33.31265514	76.33761591
EOG7R5GMP	Queen	 Brown	0.1952	53.50501418	17.53014202	35.97487216	84.79364098
EOG7R8BWJ	Queen	 Brown	0.4477	49.98590169	17.54615297	32.43974872	13.92667704
EOG7RC73W	Queen	 Brown	0.10324	52.3551677	24.15587816	28.19928954	178.6711091
EOG7RG3BH	Queen	 Brown	0.48981	32.01630896	16.0062344	16.01007456	578.6784351
EOG7RJZM4	Queen	 Brown	0.09549	8.562682507	2.014660118	6.548022389	4.328511058
EOG7RRQ26	Queen	 Brown	0.22416	34.11077552	11.21116007	22.89961545	149.0799239
EOG7RRQ2F	Queen	 Brown	0.03073	51.07338018	39.03118449	12.04219569	43.00404532
EOG7RVK9M	Queen	 Brown	0.19835	64.01852634	34.03758436	29.98094198	47.12149339
EOG7RVK9S	Queen	 Brown	0.18693	14.14281177	4.664610606	9.47820116	7.842462011
EOG7RZFJ2	Queen	 Brown	0.04608	50.05285982	25.36550155	24.68735826	94.84363203
EOG7S29RX	Queen	 Brown	0.33629	26.37569667	9.708522634	16.66717404	155.9961358
EOG7S5616	Queen	 Brown	0.09265	30.52508836	19.13898754	11.38610082	263.884242
EOG7S561T	Queen	 Brown	0.067	20.2957232	7.045313855	13.25040934	29.69531429
EOG7S827X	Queen	 Brown	0.08352	51.63370298	32.17645643	19.45724655	42.27622402
EOG7SBXHZ	Queen	 Brown	0.2565	82.01527725	60.65167818	21.36359908	72.29873299
EOG7SFSQR	Queen	 Brown	0.20453	24.14908077	18.52169396	5.62738681	200.0611391
EOG7SFSR7	Queen	 Brown	0.44612	35.08810428	18.44710265	16.64100163	61.02649156
EOG7SJNZM	Queen	 Brown	0.20966	51.63396999	35.55986165	16.07410834	61.48927023
EOG7SJNZN	Queen	 Brown	0.08481	44.18894143	33.66111055	10.52783088	13.89053656
EOG7T215Q	Queen	 Brown	0.15917	56.9227324	19.32879586	37.59393654	66.76220109
EOG7T4WD9	Queen	 Brown	0.10982	37.48620872	10.41224081	27.07396791	33.29457497
EOG7T7RN2	Queen	 Brown	0.08726	78.67542076	52.66861995	26.00680081	34.65391615
EOG7T7RNQ	Queen	 Brown	0.04645	77.48894346	38.76040786	38.7285356	28.95985846
EOG7TBMWC	Queen	 Brown	0.11219	87.73504262	54.96717813	32.76786449	23.25418959
EOG7TFH44	Queen	 Brown	0.10987	77.19866466	45.52058828	31.67807637	38.21531995
EOG7TJCBV	Queen	 Brown	0.04158	66.61774697	44.80342702	21.81431995	109.7869428
EOG7TN7KX	Queen	 Brown	0.1164	56.32504009	13.36961555	42.95542454	157.6024752
EOG7TN7M2	Queen	 Brown	0.05214	31.64522863	12.5429892	19.10223943	21.48460337
EOG7TR3TR	Queen	 Brown	0.0026	101.1470283	41.98431894	59.16270938	93.39521446
EOG7TR3V4	Queen	 Brown	0.18691	42.07903477	11.40692904	30.67210573	28.66237242
EOG7TV031	Queen	 Brown	0.13403	37.73071333	28.14062539	9.590087935	74.89611668
EOG7TXV9T	Queen	 Brown	0.05223	50.80926642	28.81293489	21.99633152	205.2899289
EOG7V4KSN	Queen	 Brown	0.15844	36.67896218	19.30520382	17.37375836	131.0915814
EOG7V4KSS	Queen	 Brown	0.16126	25.05109404	6.86405729	18.18703675	93.3639662
EOG7V7G29	Queen	 Brown	0.29397	49.39528165	30.69538881	18.69989284	69.09742705
EOG7VBB8R	Queen	 Brown	0.12116	33.39835081	23.4460421	9.952308711	220.0504195
EOG7VMZ0S	Queen	 Brown	0.19443	12.58095399	4.160239195	8.420714797	22.15764973
EOG7VQT73	Queen	 Brown	0.15968	27.27522958	14.56112048	12.7141091	123.2950845
EOG7VQT75	Queen	 Brown	0.22533	109.715127	63.39133147	46.32379552	162.6456165
EOG7VQT77	Queen	 Brown	0.02205	35.41822719	14.25113625	21.16709094	113.6916305
EOG7VTPG2	Queen	 Brown	0.03025	62.38685274	27.26835305	35.11849969	23.5434839
EOG7VXJQ3	Queen	 Brown	0.09126	29.28717761	9.209008361	20.07816925	22.7438678
EOG7W75F1	Queen	 Brown	0.10571	68.33549384	34.58947414	33.74601969	181.0032359
EOG7WB1NT	Queen	 Brown	0.04102	55.57653187	38.96214426	16.61438761	47.3031093
EOG7WB1PB	Queen	 Brown	0.13985	79.41129615	49.7356546	29.67564155	9.382124019
EOG7WDWWK	Queen	 Brown	0.10723	65.24704108	45.79972538	19.4473157	10.39682129
